Review,Liked,CleanData,Summary,Arabic,Sentiment,root,price,service,food
My gyro was basically lettuce only.,0,"['My', 'gyro', 'basically', 'lettuce']",My gyro basically lettuce,,neutral,my gyro basic lettuc,basic ,,
Terrible service!,0,"['Terrible', 'service']",Terrible service,,negative,terribl servic,,,
Thoroughly disappointed!,0,"['Thoroughly', 'disappointed']",Thoroughly disappointed,,negative,thoroughli disappoint,,,
"I don't each much pasta, but I love the homemade /hand made pastas and thin pizzas here.",1,"['I', 'dont', 'much', 'pasta', 'I', 'love', 'homemade', 'hand', 'made', 'pastas', 'thin', 'pizzas']",dont much pasta  love homemade hand made pastas thin pizzas,,positive,i dont much pasta i love homemad hand made pasta thin pizza,,,homemad 
"Give it a try, you will be happy you did.",1,"['Give', 'try', 'happy']",Give try happy,,positive,give tri happi,happi ,,
By far the BEST cheesecurds we have ever had!,1,"['By', 'far', 'BEST', 'cheesecurds', 'ever']",By far  cheesecurds ever,,positive,by far best cheesecurd ever,,,
Reasonably priced also!,1,"['Reasonably', 'priced', 'also']",Reasonably priced also,,positive,reason price also,,,
Everything was perfect the night we were in.,1,"['Everything', 'perfect', 'night']",Everything perfect night,,positive,everyth perfect night,,,perfect 
The food is very good for your typical bar food.,1,"['The', 'food', 'good', 'typical', 'bar', 'food']",The food good typical bar food,,positive,the food good typic bar food,,,
it was a drive to get there.,0,"['drive', 'get']",drive get,,neutral,drive get,,,
"At first glance it is a lovely bakery cafe - nice ambiance, clean, friendly staff.",1,"['At', 'first', 'glance', 'lovely', 'bakery', 'cafe', 'nice', 'ambiance', 'clean', 'friendly', 'staff']",At first glance lovely bakery cafe nice ambiance clean friendly staff,,positive,at first glanc love bakeri cafe nice ambianc clean friendli staff,,clean ,
"Anyway, I do not think i will go back there.",0,"['Anyway', 'I', 'not', 'think', 'go', 'back']",Anyway  not think go back,,neutral,anyway i not think go back,,,
"Point your finger at any item on the menu, order it and you won't be disappointed.",1,"['Point', 'finger', 'item', 'menu', 'order', 'wont', 'disappointed']",Point finger item menu order wont disappointed,,negative,point finger item menu order wont disappoint,,,
"Oh this is such a thing of beauty, this restaurant.",1,"['Oh', 'thing', 'beauty', 'restaurant']",Oh thing beauty restaurant,,neutral,oh thing beauti restaur,,,beauti 
If you haven't gone here GO NOW!,1,"['If', 'havent', 'gone', 'GO', 'NOW']",If havent gone,,neutral,if havent gone go now,,,
"A greasy, unhealthy meal.",0,"['A', 'greasy', 'unhealthy', 'meal']",greasy unhealthy meal,,negative,a greasi unhealthi meal,,,greasi unhealthi 
first time there and might just be the last.,0,"['first', 'time', 'might', 'last']",first time might last,,positive,first time might last,,time ,
Those burgers were amazing.,1,"['Those', 'burgers', 'amazing']",Those burgers amazing,,positive,those burger amaz,,,amaz 
"Similarly, the delivery man did not say a word of apology when our food was 45 minutes late.",0,"['Similarly', 'delivery', 'man', 'not', 'say', 'word', 'apology', 'food', '45', 'minutes', 'late']",Similarly delivery man not say word apology food  minutes late,,negative,similarli deliveri man not say word apolog food 45 minut late,,,
And it was way to expensive.,0,"['And', 'way', 'expensive']",And way expensive,,negative,and way expens,expens ,,
"Be sure to order dessert, even if you need to pack it to-go - the tiramisu and cannoli are both to die for.",1,"['Be', 'sure', 'order', 'dessert', 'even', 'need', 'pack', 'togo', 'tiramisu', 'cannoli', 'die']",Be sure order dessert even need pack togo tiramisu cannoli die,,positive,be sure order dessert even need pack togo tiramisu cannoli die,,,
This was my first time and I can't wait until the next.,1,"['This', 'first', 'time', 'I', 'cant', 'wait', 'next']",This first time  cant wait next,,positive,thi first time i cant wait next,,time wait ,
The bartender was also nice.,1,"['The', 'bartender', 'also', 'nice']",The bartender also nice,,positive,the bartend also nice,,,
Everything was good and tasty!,1,"['Everything', 'good', 'tasty']",Everything good tasty,,positive,everyth good tasti,,,tasti 
This place is two thumbs up....way up.,1,"['This', 'place', 'two', 'thumbs', 'upway']",This place two thumbs upway,,neutral,thi place two thumb upway,,,
"The best place in Vegas for breakfast (just check out a Sat, or Sun.",1,"['The', 'best', 'place', 'Vegas', 'breakfast', 'check', 'Sat', 'Sun']",The best place Vegas breakfast check Sat Sun,,positive,the best place vega breakfast check sat sun,,,
"If you love authentic Mexican food and want a whole bunch of interesting, yet delicious meats to choose from, you need to try this place.",1,"['If', 'love', 'authentic', 'Mexican', 'food', 'want', 'whole', 'bunch', 'interesting', 'yet', 'delicious', 'meats', 'choose', 'need', 'try', 'place']",If love authentic Mexican food want whole bunch interesting yet delicious meats choose need try place,,positive,if love authent mexican food want whole bunch interest yet delici meat choos need tri place,,,authent delici 
Terrible management.,0,"['Terrible', 'management']",Terrible management,,negative,terribl manag,,,
An excellent new restaurant by an experienced Frenchman.,1,"['An', 'excellent', 'new', 'restaurant', 'experienced', 'Frenchman']",An excellent new restaurant experienced Frenchman,,positive,an excel new restaur experienc frenchman,,,
If there were zero stars I would give it zero stars.,0,"['If', 'zero', 'stars', 'I', 'would', 'give', 'zero', 'stars']",If zero stars  would give zero stars,,neutral,if zero star i would give zero star,,,
"Great steak, great sides, great wine, amazing desserts.",1,"['Great', 'steak', 'great', 'sides', 'great', 'wine', 'amazing', 'desserts']",Great steak great sides great wine amazing desserts,,positive,great steak great side great wine amaz dessert,,great great great ,amaz 
Worst martini ever!,0,"['Worst', 'martini', 'ever']",Worst martini ever,,negative,worst martini ever,,worst ,
The steak and the shrimp are in my opinion the best entrees at GC.,1,"['The', 'steak', 'shrimp', 'opinion', 'best', 'entrees', 'GC']",The steak shrimp opinion best entrees,,positive,the steak shrimp opinion best entre gc,,,
I had the opportunity today to sample your amazing pizzas!,1,"['I', 'opportunity', 'today', 'sample', 'amazing', 'pizzas']",opportunity today sample amazing pizzas,,positive,i opportun today sampl amaz pizza,,,amaz 
We waited for thirty minutes to be seated (although there were 8 vacant tables and we were the only folks waiting).,0,"['We', 'waited', 'thirty', 'minutes', 'seated', 'although', '8', 'vacant', 'tables', 'folks', 'waiting']",We waited thirty minutes seated although  vacant tables folks waiting,,neutral,we wait thirti minut seat although 8 vacant tabl folk wait,,wait wait ,
The yellowtail carpaccio was melt in your mouth fresh.,1,"['The', 'yellowtail', 'carpaccio', 'melt', 'mouth', 'fresh']",The yellowtail carpaccio melt mouth fresh,,positive,the yellowtail carpaccio melt mouth fresh,,,melt fresh 
I won't try going back there even if it's empty.,0,"['I', 'wont', 'try', 'going', 'back', 'even', 'empty']",wont try going back even empty,,negative,i wont tri go back even empti,,,
"No, I'm going to eat the potato that I found some strangers hair in it.",0,"['No', 'Im', 'going', 'eat', 'potato', 'I', 'found', 'strangers', 'hair']",No Im going eat potato  found strangers hair,,neutral,no im go eat potato i found stranger hair,,,
Just spicy enough.. Perfect actually.,1,"['Just', 'spicy', 'enough', 'Perfect', 'actually']",Just spicy enough Perfect actually,,positive,just spici enough perfect actual,,,spici perfect 
Last night was my second time dining here and I was so happy I decided to go back!,1,"['Last', 'night', 'second', 'time', 'dining', 'I', 'happy', 'I', 'decided', 'go', 'back']",Last night second time dining  happy  decided go back,,positive,last night second time dine i happi i decid go back,happi ,time ,
"not even a ""hello, we will be right with you.""",0,"['not', 'even', 'hello', 'right']",not even hello right,,positive,not even hello right,,,
The desserts were a bit strange.,0,"['The', 'desserts', 'bit', 'strange']",The desserts bit strange,,negative,the dessert bit strang,,,
My boyfriend and I came here for the first time on a recent trip to Vegas and could not have been more pleased with the quality of food and service.,1,"['My', 'boyfriend', 'I', 'came', 'first', 'time', 'recent', 'trip', 'Vegas', 'could', 'not', 'pleased', 'quality', 'food', 'service']",My boyfriend  came first time recent trip Vegas could not pleased quality food service,,positive,my boyfriend i came first time recent trip vega could not pleas qualiti food servic,,time ,
"I really do recommend this place, you can go wrong with this donut place!",1,"['I', 'really', 'recommend', 'place', 'go', 'wrong', 'donut', 'place']",really recommend place go wrong donut place,,negative,i realli recommend place go wrong donut place,,,recommend 
Nice ambiance.,1,"['Nice', 'ambiance']",Nice ambiance,,positive,nice ambianc,,,
I would recommend saving room for this!,1,"['I', 'would', 'recommend', 'saving', 'room']",would recommend saving room,,neutral,i would recommend save room,,,recommend 
I guess maybe we went on an off night but it was disgraceful.,0,"['I', 'guess', 'maybe', 'went', 'night', 'disgraceful']",guess maybe went night disgraceful,,neutral,i guess mayb went night disgrac,,,
"However, my recent experience at this particular location was not so good.",0,"['However', 'recent', 'experience', 'particular', 'location', 'not', 'good']",However recent experience particular location not good,,positive,howev recent experi particular locat not good,,,
"I know this is not like the other restaurants at all, something is very off here!",0,"['I', 'know', 'not', 'like', 'restaurants', 'something']",know not like restaurants something,,positive,i know not like restaur someth,,,
AVOID THIS ESTABLISHMENT!,0,"['AVOID', 'THIS', 'ESTABLISHMENT']",,,neutral,avoid thi establish,,,
I think this restaurant suffers from not trying hard enough.,0,"['I', 'think', 'restaurant', 'suffers', 'not', 'trying', 'hard', 'enough']",think restaurant suffers not trying hard enough,,negative,i think restaur suffer not tri hard enough,,,hard 
All of the tapas dishes were delicious!,1,"['All', 'tapas', 'dishes', 'delicious']",All tapas dishes delicious,,positive,all tapa dish delici,,,delici 
I *heart* this place.,1,"['I', 'heart', 'place']",heart place,,neutral,i heart place,,,
My salad had a bland vinegrette on the baby greens and hearts of Palm.,0,"['My', 'salad', 'bland', 'vinegrette', 'baby', 'greens', 'hearts', 'Palm']",My salad bland vinegrette baby greens hearts Palm,,negative,my salad bland vinegrett babi green heart palm,,,bland 
After two I felt disgusting.,0,"['After', 'two', 'I', 'felt', 'disgusting']",After two  felt disgusting,,negative,after two i felt disgust,,,disgust 
A good time!,1,"['A', 'good', 'time']",good time,,positive,a good time,,time ,
I believe that this place is a great stop for those with a huge belly and hankering for sushi.,1,"['I', 'believe', 'place', 'great', 'stop', 'huge', 'belly', 'hankering', 'sushi']",believe place great stop huge belly hankering sushi,,positive,i believ place great stop huge belli hanker sushi,,great ,huge 
Generous portions and great taste.,1,"['Generous', 'portions', 'great', 'taste']",Generous portions great taste,,positive,gener portion great tast,,great ,
I will never go back to this place and will never ever recommended this place to anyone!,0,"['I', 'never', 'go', 'back', 'place', 'never', 'ever', 'recommended', 'place', 'anyone']",never go back place never ever recommended place anyone,,neutral,i never go back place never ever recommend place anyon,,,recommend 
"The servers went back and forth several times, not even so much as an ""Are you being helped?""",0,"['The', 'servers', 'went', 'back', 'forth', 'several', 'times', 'not', 'even', 'much', 'Are', 'helped']",The servers went back forth several times not even much Are helped,,positive,the server went back forth sever time not even much are help,,time help ,
Food was delicious!,1,"['Food', 'delicious']",Food delicious,,positive,food delici,,,delici 
AN HOUR... seriously?,0,"['AN', 'HOUR', 'seriously']",seriously,,negative,an hour serious,,,
I consider this theft.,0,"['I', 'consider', 'theft']",consider theft,,neutral,i consid theft,,,
Eew... This location needs a complete overhaul.,0,"['Eew', 'This', 'location', 'needs', 'complete', 'overhaul']",Eew This location needs complete overhaul,,positive,eew thi locat need complet overhaul,,,
We recently witnessed her poor quality of management towards other guests as well.,0,"['We', 'recently', 'witnessed', 'poor', 'quality', 'management', 'towards', 'guests', 'well']",We recently witnessed poor quality management towards guests well,,negative,we recent wit poor qualiti manag toward guest well,poor ,,
Waited and waited and waited.,0,"['Waited', 'waited', 'waited']",Waited waited waited,,neutral,wait wait wait,,wait wait wait ,
"He also came back to check on us regularly, excellent service.",1,"['He', 'also', 'came', 'back', 'check', 'us', 'regularly', 'excellent', 'service']",He also came back check us regularly excellent service,,positive,he also came back check us regularli excel servic,,,
Our server was super nice and checked on us many times.,1,"['Our', 'server', 'super', 'nice', 'checked', 'us', 'many', 'times']",Our server super nice checked us many times,,positive,our server super nice check us mani time,,time ,
"The pizza tasted old, super chewy in not a good way.",0,"['The', 'pizza', 'tasted', 'old', 'super', 'chewy', 'not', 'good', 'way']",The pizza tasted old super chewy not good way,,positive,the pizza tast old super chewi not good way,,,chewi 
I swung in to give them a try but was deeply disappointed.,0,"['I', 'swung', 'give', 'try', 'deeply', 'disappointed']",swung give try deeply disappointed,,negative,i swung give tri deepli disappoint,,,
Service was good and the company was better!,1,"['Service', 'good', 'company', 'better']",Service good company better,,positive,servic good compani better,,,
The staff are also very friendly and efficient.,1,"['The', 'staff', 'also', 'friendly', 'efficient']",The staff also friendly efficient,,positive,the staff also friendli effici,,,
"As for the service: I'm a fan, because it's quick and you're being served by some nice folks.",1,"['As', 'service', 'Im', 'fan', 'quick', 'youre', 'served', 'nice', 'folks']",As service Im fan quick youre served nice folks,,positive,as servic im fan quick your serv nice folk,,quick ,
Boy was that sucker dry!!.,0,"['Boy', 'sucker', 'dry']",Boy sucker dry,,negative,boy sucker dri,,,dri 
Over rated.,0,"['Over', 'rated']",Over rated,,neutral,over rate,,,
"If you look for authentic Thai food, go else where.",0,"['If', 'look', 'authentic', 'Thai', 'food', 'go', 'else']",If look authentic Thai food go else,,positive,if look authent thai food go els,,,authent 
Their steaks are 100% recommended!,1,"['Their', 'steaks', '100', 'recommended']",Their steaks  recommended,,neutral,their steak 100 recommend,,,recommend 
After I pulled up my car I waited for another 15 minutes before being acknowledged.,0,"['After', 'I', 'pulled', 'car', 'I', 'waited', 'another', '15', 'minutes', 'acknowledged']",After  pulled car  waited another  minutes acknowledged,,neutral,after i pull car i wait anoth 15 minut acknowledg,,wait ,
Great food and great service in a clean and friendly setting.,1,"['Great', 'food', 'great', 'service', 'clean', 'friendly', 'setting']",Great food great service clean friendly setting,,positive,great food great servic clean friendli set,,great great clean ,
"All in all, I can assure you I'll be back.",1,"['All', 'I', 'assure', 'Ill', 'back']",All  assure Ill back,,neutral,all i assur ill back,,assur ,
I hate those things as much as cheap quality black olives.,0,"['I', 'hate', 'things', 'much', 'cheap', 'quality', 'black', 'olives']",hate things much cheap quality black olives,,negative,i hate thing much cheap qualiti black oliv,cheap ,,
"My breakfast was perpared great, with a beautiful presentation of 3 giant slices of Toast, lightly dusted with powdered sugar.",1,"['My', 'breakfast', 'perpared', 'great', 'beautiful', 'presentation', '3', 'giant', 'slices', 'Toast', 'lightly', 'dusted', 'powdered', 'sugar']",My breakfast perpared great beautiful presentation  giant slices Toast lightly dusted powdered sugar,,positive,my breakfast perpar great beauti present 3 giant slice toast lightli dust powder sugar,,great ,beauti 
The kids play area is NASTY!,0,"['The', 'kids', 'play', 'area', 'NASTY']",The kids play area,,negative,the kid play area nasti,,,nasti 
Great place fo take out or eat in.,1,"['Great', 'place', 'fo', 'take', 'eat']",Great place fo take eat,,positive,great place fo take eat,,great ,
The waitress was friendly and happy to accomodate for vegan/veggie options.,1,"['The', 'waitress', 'friendly', 'happy', 'accomodate', 'veganveggie', 'options']",The waitress friendly happy accomodate veganveggie options,,positive,the waitress friendli happi accomod veganveggi option,happi ,accomod ,
OMG I felt like I had never eaten Thai food until this dish.,1,"['OMG', 'I', 'felt', 'like', 'I', 'never', 'eaten', 'Thai', 'food', 'dish']",felt like  never eaten Thai food dish,,neutral,omg i felt like i never eaten thai food dish,,,
"It was extremely ""crumby"" and pretty tasteless.",0,"['It', 'extremely', 'crumby', 'pretty', 'tasteless']",It extremely crumby pretty tasteless,,negative,it extrem crumbi pretti tasteless,,,tasteless 
It was a pale color instead of nice and char and has NO flavor.,0,"['It', 'pale', 'color', 'instead', 'nice', 'char', 'NO', 'flavor']",It pale color instead nice char  flavor,,positive,it pale color instead nice char no flavor,,,pale color flavor 
The croutons also taste homemade which is an extra plus.,1,"['The', 'croutons', 'also', 'taste', 'homemade', 'extra', 'plus']",The croutons also taste homemade extra plus,,neutral,the crouton also tast homemad extra plu,,,homemad 
I got home to see the driest damn wings ever!,0,"['I', 'got', 'home', 'see', 'driest', 'damn', 'wings', 'ever']",got home see driest damn wings ever,,neutral,i got home see driest damn wing ever,,,
It'll be a regular stop on my trips to Phoenix!,1,"['Itll', 'regular', 'stop', 'trips', 'Phoenix']",Itll regular stop trips Phoenix,,neutral,itll regular stop trip phoenix,,,
I really enjoyed Crema Café before they expanded. I even told friends they had the BEST breakfast.,1,"['I', 'really', 'enjoyed', 'Crema', 'Café', 'expanded', 'I', 'even', 'told', 'friends', 'BEST', 'breakfast']",really enjoyed Crema Café expanded  even told friends  breakfast,,positive,i realli enjoy crema café expand i even told friend best breakfast,enjoy ,friend ,
Not good for the money.,0,"['Not', 'good', 'money']",Not good money,,negative,not good money,,,
I miss it and wish they had one in Philadelphia!,1,"['I', 'miss', 'wish', 'one', 'Philadelphia']",miss wish one Philadelphia,,neutral,i miss wish one philadelphia,,,
"We got sitting fairly fast, but, ended up waiting 40 minutes just to place our order, another 30 minutes before the food arrived.",0,"['We', 'got', 'sitting', 'fairly', 'fast', 'ended', 'waiting', '40', 'minutes', 'place', 'order', 'another', '30', 'minutes', 'food', 'arrived']",We got sitting fairly fast ended waiting  minutes place order another  minutes food arrived,,positive,we got sit fairli fast end wait 40 minut place order anoth 30 minut food arriv,,fast wait ,
They also have the best cheese crisp in town.,1,"['They', 'also', 'best', 'cheese', 'crisp', 'town']",They also best cheese crisp town,,positive,they also best chees crisp town,,,crisp 
"Good value, great food, great service.",1,"['Good', 'value', 'great', 'food', 'great', 'service']",Good value great food great service,,positive,good valu great food great servic,,great great ,
Couldn't ask for a more satisfying meal.,1,"['Couldnt', 'ask', 'satisfying', 'meal']",Couldnt ask satisfying meal,,positive,couldnt ask satisfi meal,satisfi ,,
The food is good.,1,"['The', 'food', 'good']",The food good,,positive,the food good,,,
It was awesome.,1,"['It', 'awesome']",It awesome,,positive,it awesom,,,
I just wanted to leave.,0,"['I', 'wanted', 'leave']",wanted leave,,neutral,i want leav,,,
We made the drive all the way from North Scottsdale... and I was not one bit disappointed!,1,"['We', 'made', 'drive', 'way', 'North', 'Scottsdale', 'I', 'not', 'one', 'bit', 'disappointed']",We made drive way North Scottsdale  not one bit disappointed,,negative,we made drive way north scottsdal i not one bit disappoint,,,
I will not be eating there again.,0,"['I', 'not', 'eating']",not eating,,neutral,i not eat,,,
!....THE OWNERS REALLY REALLY need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one!,0,"['THE', 'OWNERS', 'REALLY', 'REALLY', 'need', 'quit', 'soooooo', 'cheap', 'let', 'wrap', 'freaking', 'sandwich', 'two', 'papers', 'not', 'one']",need quit soooooo cheap let wrap freaking sandwich two papers not one,,positive,the owner realli realli need quit soooooo cheap let wrap freak sandwich two paper not one,cheap ,,
I checked out this place a couple years ago and was not impressed.,0,"['I', 'checked', 'place', 'couple', 'years', 'ago', 'not', 'impressed']",checked place couple years ago not impressed,,negative,i check place coupl year ago not impress,,impress ,
"The chicken I got was definitely reheated and was only ok, the wedges were cold and soggy.",0,"['The', 'chicken', 'I', 'got', 'definitely', 'reheated', 'ok', 'wedges', 'cold', 'soggy']",The chicken  got definitely reheated ok wedges cold soggy,,negative,the chicken i got definit reheat ok wedg cold soggi,,,cold soggi 
"Sorry, I will not be getting food from here anytime soon :(",0,"['Sorry', 'I', 'not', 'getting', 'food', 'anytime', 'soon']",Sorry  not getting food anytime soon,,negative,sorri i not get food anytim soon,,,
An absolute must visit!,1,"['An', 'absolute', 'must', 'visit']",An absolute must visit,,positive,an absolut must visit,,,
The cow tongue and cheek tacos are amazing.,1,"['The', 'cow', 'tongue', 'cheek', 'tacos', 'amazing']",The cow tongue cheek tacos amazing,,positive,the cow tongu cheek taco amaz,,,amaz 
My friend did not like his Bloody Mary.,0,"['My', 'friend', 'not', 'like', 'Bloody', 'Mary']",My friend not like Bloody Mary,,negative,my friend not like bloodi mari,,friend ,
"Despite how hard I rate businesses, its actually rare for me to give a 1 star.",0,"['Despite', 'hard', 'I', 'rate', 'businesses', 'actually', 'rare', 'give', '1', 'star']",Despite hard  rate businesses actually rare give  star,,positive,despit hard i rate busi actual rare give 1 star,,,hard 
They really want to make your experience a good one.,1,"['They', 'really', 'want', 'make', 'experience', 'good', 'one']",They really want make experience good one,,positive,they realli want make experi good one,,,
I will not return.,0,"['I', 'not', 'return']",not return,,neutral,i not return,,,
I had the chicken Pho and it tasted very bland.,0,"['I', 'chicken', 'Pho', 'tasted', 'bland']",chicken Pho tasted bland,,negative,i chicken pho tast bland,,,bland 
Very disappointing!!!,0,"['Very', 'disappointing']",Very disappointing,,negative,veri disappoint,,,
The grilled chicken was so tender and yellow from the saffron seasoning.,1,"['The', 'grilled', 'chicken', 'tender', 'yellow', 'saffron', 'seasoning']",The grilled chicken tender yellow saffron seasoning,,negative,the grill chicken tender yellow saffron season,,,tender season 
"a drive thru means you do not want to wait around for half an hour for your food, but somehow when we end up going here they make us wait and wait.",0,"['drive', 'thru', 'means', 'not', 'want', 'wait', 'around', 'half', 'hour', 'food', 'somehow', 'end', 'going', 'make', 'us', 'wait', 'wait']",drive thru means not want wait around half hour food somehow end going make us wait wait,,negative,drive thru mean not want wait around half hour food somehow end go make us wait wait,,wait wait wait ,
Pretty awesome place.,1,"['Pretty', 'awesome', 'place']",Pretty awesome place,,positive,pretti awesom place,,,
Ambience is perfect.,1,"['Ambience', 'perfect']",Ambience perfect,,positive,ambienc perfect,,,perfect 
Best of luck to the rude and non-customer service focused new management.,0,"['Best', 'luck', 'rude', 'noncustomer', 'service', 'focused', 'new', 'management']",Best luck rude noncustomer service focused new management,,positive,best luck rude noncustom servic focus new manag,,rude ,
Any grandmother can make a roasted chicken better than this one.,0,"['Any', 'grandmother', 'make', 'roasted', 'chicken', 'better', 'one']",Any grandmother make roasted chicken better one,,negative,ani grandmoth make roast chicken better one,,,roast 
I asked multiple times for the wine list and after some time of being ignored I went to the hostess and got one myself.,0,"['I', 'asked', 'multiple', 'times', 'wine', 'list', 'time', 'ignored', 'I', 'went', 'hostess', 'got', 'one']",asked multiple times wine list time ignored  went hostess got one,,neutral,i ask multipl time wine list time ignor i went hostess got one,,time time ,
"The staff is always super friendly and helpful, which is especially cool when you bring two small boys and a baby!",1,"['The', 'staff', 'always', 'super', 'friendly', 'helpful', 'especially', 'cool', 'bring', 'two', 'small', 'boys', 'baby']",The staff always super friendly helpful especially cool bring two small boys baby,,positive,the staff alway super friendli help especi cool bring two small boy babi,,help ,
Four stars for the food & the guy in the blue shirt for his great vibe & still letting us in to eat !,1,"['Four', 'stars', 'food', 'guy', 'blue', 'shirt', 'great', 'vibe', 'still', 'letting', 'us', 'eat']",Four stars food guy blue shirt great vibe still letting us eat,,positive,four star food guy blue shirt great vibe still let us eat,,great ,
The roast beef sandwich tasted really good!,1,"['The', 'roast', 'beef', 'sandwich', 'tasted', 'really', 'good']",The roast beef sandwich tasted really good,,positive,the roast beef sandwich tast realli good,,,roast 
"Same evening, him and I are both drastically sick.",0,"['Same', 'evening', 'I', 'drastically', 'sick']",Same evening  drastically sick,,negative,same even i drastic sick,,,sick 
High-quality chicken on the chicken Caesar salad.,1,"['Highquality', 'chicken', 'chicken', 'Caesar', 'salad']",Highquality chicken chicken Caesar salad,,negative,highqual chicken chicken caesar salad,,,
Ordered burger rare came in we'll done.,0,"['Ordered', 'burger', 'rare', 'came', 'well', 'done']",Ordered burger rare came well done,,positive,order burger rare came well done,,,
We were promptly greeted and seated.,1,"['We', 'promptly', 'greeted', 'seated']",We promptly greeted seated,,neutral,we promptli greet seat,,,
Tried to go here for lunch and it was a madhouse.,0,"['Tried', 'go', 'lunch', 'madhouse']",Tried go lunch madhouse,,neutral,tri go lunch madhous,,,
"I was proven dead wrong by this sushi bar, not only because the quality is great, but the service is fast and the food, impeccable.",1,"['I', 'proven', 'dead', 'wrong', 'sushi', 'bar', 'not', 'quality', 'great', 'service', 'fast', 'food', 'impeccable']",proven dead wrong sushi bar not quality great service fast food impeccable,,positive,i proven dead wrong sushi bar not qualiti great servic fast food impecc,,great fast ,
"After waiting an hour and being seated, I was not in the greatest of moods.",0,"['After', 'waiting', 'hour', 'seated', 'I', 'not', 'greatest', 'moods']",After waiting hour seated  not greatest moods,,positive,after wait hour seat i not greatest mood,,wait ,
This is a good joint.,1,"['This', 'good', 'joint']",This good joint,,positive,thi good joint,,,
The Macarons here are insanely good.,1,"['The', 'Macarons', 'insanely', 'good']",The Macarons insanely good,,positive,the macaron insan good,,,
I'm not eating here!,0,"['Im', 'not', 'eating']",Im not eating,,neutral,im not eat,,,
"Our waiter was very attentive, friendly, and informative.",1,"['Our', 'waiter', 'attentive', 'friendly', 'informative']",Our waiter attentive friendly informative,,positive,our waiter attent friendli inform,,attent ,
Maybe if they weren't cold they would have been somewhat edible.,0,"['Maybe', 'werent', 'cold', 'would', 'somewhat', 'edible']",Maybe werent cold would somewhat edible,,negative,mayb werent cold would somewhat edibl,,,cold 
This place has a lot of promise but fails to deliver.,0,"['This', 'place', 'lot', 'promise', 'fails', 'deliver']",This place lot promise fails deliver,,negative,thi place lot promis fail deliv,,,
Very bad Experience!,0,"['Very', 'bad', 'Experience']",Very bad Experience,,negative,veri bad experi,,,bad 
What a mistake.,0,"['What', 'mistake']",What mistake,,neutral,what mistak,,,
Food was average at best.,0,"['Food', 'average', 'best']",Food average best,,positive,food averag best,averag ,,
Great food.,1,"['Great', 'food']",Great food,,positive,great food,,great ,
We won't be going back anytime soon!,0,"['We', 'wont', 'going', 'back', 'anytime', 'soon']",We wont going back anytime soon,,neutral,we wont go back anytim soon,,,
Very Very Disappointed ordered the $35 Big Bay Plater.,0,"['Very', 'Very', 'Disappointed', 'ordered', '35', 'Big', 'Bay', 'Plater']",Very Very Disappointed ordered  Big Bay Plater,,negative,veri veri disappoint order 35 big bay plater,,,
Great place to relax and have an awesome burger and beer.,1,"['Great', 'place', 'relax', 'awesome', 'burger', 'beer']",Great place relax awesome burger beer,,positive,great place relax awesom burger beer,,great ,
It is PERFECT for a sit-down family meal or get together with a few friends.,1,"['It', 'PERFECT', 'sitdown', 'family', 'meal', 'get', 'together', 'friends']",It  sitdown family meal get together friends,,positive,it perfect sitdown famili meal get togeth friend,,friend ,perfect 
"Not much flavor to them, and very poorly constructed.",0,"['Not', 'much', 'flavor', 'poorly', 'constructed']",Not much flavor poorly constructed,,negative,not much flavor poorli construct,,,flavor 
The patio seating was very comfortable.,1,"['The', 'patio', 'seating', 'comfortable']",The patio seating comfortable,,positive,the patio seat comfort,comfort ,,
The fried rice was dry as well.,0,"['The', 'fried', 'rice', 'dry', 'well']",The fried rice dry well,,negative,the fri rice dri well,,,dri 
Hands down my favorite Italian restaurant!,1,"['Hands', 'favorite', 'Italian', 'restaurant']",Hands favorite Italian restaurant,,positive,hand favorit italian restaur,,,
"That just SCREAMS ""LEGIT"" in my book...somethat's also pretty rare here in Vegas.",1,"['That', 'SCREAMS', 'LEGIT', 'booksomethats', 'also', 'pretty', 'rare', 'Vegas']",That   booksomethats also pretty rare Vegas,,positive,that scream legit booksomethat also pretti rare vega,,,
It was just not a fun experience.,1,"['It', 'not', 'fun', 'experience']",It not fun experience,,negative,it not fun experi,,,
The atmosphere was great with a lovely duo of violinists playing songs we requested.,1,"['The', 'atmosphere', 'great', 'lovely', 'duo', 'violinists', 'playing', 'songs', 'requested']",The atmosphere great lovely duo violinists playing songs requested,,positive,the atmospher great love duo violinist play song request,,great ,
"I personally love the hummus, pita, baklava, falafels and Baba Ganoush (it's amazing what they do with eggplant!).",1,"['I', 'personally', 'love', 'hummus', 'pita', 'baklava', 'falafels', 'Baba', 'Ganoush', 'amazing', 'eggplant']",personally love hummus pita baklava falafels Baba Ganoush amazing eggplant,,positive,i person love hummu pita baklava falafel baba ganoush amaz eggplant,,person ,amaz 
"Very convenient, since we were staying at the MGM!",1,"['Very', 'convenient', 'since', 'staying', 'MGM']",Very convenient since staying,,positive,veri conveni sinc stay mgm,,,
The owners are super friendly and the staff is courteous.,1,"['The', 'owners', 'super', 'friendly', 'staff', 'courteous']",The owners super friendly staff courteous,,positive,the owner super friendli staff courteou,,,
Both great!,1,"['Both', 'great']",Both great,,positive,both great,,great ,
